time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-24T07:08:32.820Z,18.794,-67.2446,19,3.1,md,12,303,0.3527,0.2,pr,pr2021267001,2021-09-24T08:06:18.348Z,"36 km NNW of San Antonio, Puerto Rico",earthquake,0.82,0.93,0.07,5,reviewed,pr,pr
2021-09-24T07:04:45.600Z,38.1030006,-122.2369995,9.99,2.72,md,72,40,0.03184,0.19,nc,nc73628751,2021-09-24T19:04:09.021Z,"1km S of Vallejo, CA",earthquake,0.25,0.46,0.13,73,automatic,nc,nc
2021-09-24T07:02:30.417Z,51.1938,-179.0569,27.61,5.5,mww,,55,0.391,0.63,us,us7000fe0g,2021-09-24T13:12:35.534Z,"184 km WSW of Adak, Alaska",earthquake,5,3.8,0.046,45,reviewed,us,us
2021-09-24T06:59:56.796Z,63.0924,-150.5637,114.9,3,ml,,,,0.52,ak,ak021c9of12g,2021-09-24T07:06:42.040Z,"67 km N of Petersville, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-09-24T06:55:34.400Z,31.61316965,-104.0957791,6.979931641,1.6,ml,11,67,0.07740207993,0.3,tx,tx2021ssnn,2021-09-24T16:40:31.566Z,"43 km NW of Toyah, Texas",earthquake,1.346026386,1.149365267,0.2,6,reviewed,tx,tx
2021-09-24T06:50:11.832Z,-21.4537,-66.9548,235.74,4.1,mb,,128,1.873,0.27,us,us7000fe0c,2021-09-24T07:30:36.040Z,"95 km SW of Atocha, Bolivia",earthquake,13,16,0.214,6,reviewed,us,us
2021-09-24T06:36:16.591Z,2.1098,126.7,33.5,5.3,mww,,79,1.486,0.74,us,us7000fe0b,2021-09-24T07:03:09.034Z,"151 km WNW of Tobelo, Indonesia",earthquake,6.3,1.8,0.089,12,reviewed,us,us
2021-09-24T06:20:23.529Z,38.6663,-118.0327,0,2.1,ml,8,249.09,0.493,0.2473,nn,nn00823283,2021-09-24T06:26:40.350Z,"24 km SSW of Gabbs, Nevada",earthquake,,2654.4,0.41,4,automatic,nn,nn
2021-09-24T06:17:42.262Z,38.2094,-117.7651,1.4,1.9,ml,27,124.58,0.096,0.2934,nn,nn00823280,2021-09-24T06:21:31.437Z,"36 km SE of Mina, Nevada",earthquake,,1.6,0.49,15,automatic,nn,nn
2021-09-24T06:04:06.819Z,38.5352,-119.4207,6.6,1.1,ml,14,73.37,0.066,0.1921,nn,nn00823277,2021-09-24T06:07:27.539Z,"5 km ENE of Walker, California",earthquake,,1.1,0.26,5,automatic,nn,nn
2021-09-24T05:43:36.050Z,39.4228333,-110.2946667,-2.24,1.42,ml,9,200,0.02361,0.12,uu,uu60459447,2021-09-24T18:22:57.800Z,"16 km SSE of Sunnyside, Utah",earthquake,1,2.14,0.12,3,reviewed,uu,uu
2021-09-24T05:23:46.620Z,39.4286667,-110.3115,-1.21,1.5,md,7,194,0.01148,0.04,uu,uu60459437,2021-09-24T18:20:52.060Z,"15 km SSE of Sunnyside, Utah",earthquake,0.9,0.39,0.167,6,reviewed,uu,uu
2021-09-24T05:22:25.353Z,-9.0809,119.1293,114.67,4.1,mb,,100,3.103,0.8,us,us7000fe00,2021-09-24T10:08:16.479Z,"67 km SW of Komodo, Indonesia",earthquake,8.8,10.8,0.261,4,reviewed,us,us
2021-09-24T05:07:56.154Z,64.2537,-148.5804,0,1.6,ml,,,,0.38,ak,ak021c9nig6s,2021-09-24T05:12:02.011Z,"29 km E of Clear, Alaska, Alaska",earthquake,,1,,,automatic,ak,ak
2021-09-24T05:03:18.400Z,19.2040004730225,-155.438995361328,33.2099990844727,2.39,ml,50,131,,0.119999997,hv,hv72722492,2021-09-24T05:17:37.040Z,"4 km E of Pāhala, Hawaii",earthquake,0.55,0.670000017,3.86,28,automatic,hv,hv
2021-09-24T04:55:21.176Z,52.2822,-159.224,47.4,3.3,ml,,,,0.46,ak,ak021c9n7fme,2021-09-24T05:34:24.701Z,"south of Alaska",earthquake,,10397.6,,,reviewed,ak,ak
2021-09-24T04:45:27.850Z,36.31383333,-98.1635,6.83,2.7,ml,98,41,0,0.21,ok,ok2021ssjg,2021-09-24T13:32:03.658Z,"7 km NNE of Ames, Oklahoma",earthquake,,0.3,0.22,30,reviewed,ok,ok
2021-09-24T04:29:15.961Z,38.108,-118.958,8.4,1.5,ml,21,89.11,0.384,0.2547,nn,nn00823273,2021-09-24T04:32:38.852Z,"17 km ENE of Mono City, California",earthquake,,2.2,0.36,10,automatic,nn,nn
2021-09-24T04:26:32.092Z,61.6506,-148.0352,14.6,1.5,ml,,,,0.39,ak,ak021c9n11d5,2021-09-24T04:29:37.125Z,"26 km SW of Glacier View, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-09-24T04:11:20.066Z,31.61311542,-104.10869,8.625244141,1.6,ml,11,73,0.08506777334,0.3,tx,tx2021ssic,2021-09-24T16:47:44.720Z,"44 km NW of Toyah, Texas",earthquake,1.201313305,1.480741734,0.2,7,reviewed,tx,tx
2021-09-24T04:09:27.860Z,39.4261667,-110.3073333,-1.32,1.68,md,9,196,0.01391,0.09,uu,uu60459432,2021-09-24T18:19:47.900Z,"15 km SSE of Sunnyside, Utah",earthquake,0.99,0.4,0.162,7,reviewed,uu,uu
2021-09-24T04:02:20.680Z,61.303,-150.0875,33.6,2,ml,,,,0.89,ak,ak021c9mvvai,2021-09-24T04:06:54.561Z,"8 km SW of Point MacKenzie, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-09-24T03:59:48.160Z,19.3311666666667,-155.205666666667,5.44,2.35,ml,47,78,,0.11,hv,hv72722417,2021-09-24T04:18:39.340Z,"12 km SSE of Volcano, Hawaii",earthquake,0.25,0.45,0.191462586416333,30,reviewed,hv,hv
